Area_Type,Area,Area_Name,SOC,Occupational_Title,Employment,Mean_Wage,Median_Wage,Entry_Wage,Experienced_Wage
10,1,Capital Region,45-4023,Log Graders and Scalers,,48000,53860,30990,56510
10,10,Western New York Region,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",160,65700,61210,38580,79260
10,1,Capital Region,11-3061,Purchasing Managers,440,101060,92510,59700,121750
10,7,New York City Region,29-2033,Nuclear Medicine Technologists,450,90190,88560,69880,100340
10,3,Finger Lakes Region,29-2051,Dietetic Technicians,110,30600,24960,21632,35290
10,2,Central New York Region,47-2061,Construction Laborers,2370,44380,39650,30190,51470
10,7,New York City Region,49-3011,Aircraft Mechanics and Service Technicians,1950,69290,68580,49320,79270
10,4,Hudson Valley Region,51-9123," Painting, Coating, and Decorating Workers",,42720,38820,31440,48360
10,3,Finger Lakes Region,39-4021,Funeral Attendants,,29740,29940,24730,32250
10,7,New York City Region,29-1126,Respiratory Therapists,2080,83070,82370,73000,88100
10,8,North Country Region,19-3093,Historians,60,28930,28590,25640,30570
10,2,Central New York Region,15-1199," Computer Occupations, All Other",140,84540,77680,61650,95990
10,2,Central New York Region,27-4021,Photographers,60,51020,40600,31860,60610
10,8,North Country Region,49-3042," Mobile Heavy Equipment Mechanics, Except Engines",120,47940,47930,37890,52970
1,36,New York State,49-3041,Farm Equipment Mechanics and Service Technicians,620,41370,40720,30250,46920
10,2,Central New York Region,41-0000,Sales and Related Occupations,34790,41110,26750,21810,50760
1,36,New York State,13-1161,Market Research Analysts and Marketing Specialists,59110,79530,73270,45480,96550
1,36,New York State,43-4071,File Clerks,8160,33750,30900,22690,39280
10,6,Mohawk Valley Region,49-9041,Industrial Machinery Mechanics,460,45500,44270,31610,52440
1,36,New York State,19-3041,Sociologists,310,74170,67910,39300,91610
10,6,Mohawk Valley Region,43-3051,Payroll and Timekeeping Clerks,230,43960,39950,31100,50390
10,8,North Country Region,13-2041,Credit Analysts,,108860,82790,56080,135250
10,3,Finger Lakes Region,13-2099," Financial Specialists, All Other",50,55530,52740,30280,68160
10,3,Finger Lakes Region,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",200,39580,38200,31470,43630
10,2,Central New York Region,25-2023,"Career/Technical  Education Teachers, Middle School",140,72340,70260,58600,79210
10,5,Long Island Region,11-1021,General and Operations Managers,24490,147830,121800,67150,188170
10,5,Long Island Region,43-5032," Dispatchers, Except Police, Fire, and Ambulance",1540,47340,42660,32060,54980
10,1,Capital Region,17-2121,Marine Engineers and Naval Architects,,94100,80730,68640,106840
10,4,Hudson Valley Region,19-3031," Clinical, Counseling, and School Psychologists",1850,93030,88680,62630,108230
1,36,New York State,39-5092,Manicurists and Pedicurists,18370,23280,21632,21632,24520
10,7,New York City Region,51-5112,Printing Press Operators,2740,48150,46620,28010,58210
10,7,New York City Region,47-2211,Sheet Metal Workers,3900,77050,70550,40070,95540
10,4,Hudson Valley Region,11-3121,Human Resources Managers,610,161500,152640,80910,201800
10,1,Capital Region,27-1014,Multimedia Artists and Animators,,80860,64660,52480,95060
10,5,Long Island Region,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",170,38560,36650,28450,43610
10,4,Hudson Valley Region,39-9011,Childcare Workers,5320,28000,26050,22020,30990
10,7,New York City Region,35-2014," Cooks, Restaurant",34170,30500,27550,24960,34800
10,2,Central New York Region,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",940,23720,22750,21632,24960
10,10,Western New York Region,47-2042," Floor Layers, Except Carpet, Wood, and Hard Tiles",90,42470,40540,22800,52300
10,1,Capital Region,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",510,34750,35160,24990,39640
1,36,New York State,13-2052,Personal Financial Advisors,28000,169530,146470,65640,221470
10,5,Long Island Region,43-4041," Credit Authorizers, Checkers, and Clerks",310,47670,46340,35490,53770
10,10,Western New York Region,43-9022,Word Processors and Typists,1740,38440,37370,28630,43350
10,9,Southern Tier Region,31-1014,Nursing Assistants,3130,30120,29490,24050,33150
10,9,Southern Tier Region,25-2012," Kindergarten Teachers, Except Special Education",370,68490,61550,46800,79330
10,7,New York City Region,51-2098,"Assemblers and fabricators, all other, including team assemblers¿(OES-specific code and title)",7070,32410,28760,24960,37550
10,4,Hudson Valley Region,21-2099," Religious Workers, All Other",,40760,35040,21632,50570
10,5,Long Island Region,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",1360,46710,44710,30300,54920
10,8,North Country Region,11-2021,Marketing Managers,40,133910,134910,74450,163640
10,8,North Country Region,35-9021,Dishwashers,880,22520,21632,21632,23390
10,10,Western New York Region,25-9011,Audio-Visual and Multimedia Collections Specialists,50,52650,47470,33250,62350
1,36,New York State,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,4680,73210,70000,43730,87950
10,3,Finger Lakes Region,13-2071,Credit Counselors,140,52080,47430,35640,60300
10,7,New York City Region,27-3011,Radio and Television Announcers,860,99520,61760,26630,135970
10,8,North Country Region,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",3390,29760,28090,22380,33450
10,9,Southern Tier Region,17-1012,Landscape Architects,,86910,81520,48840,105940
10,5,Long Island Region,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",26190,35960,32060,22880,42610
10,8,North Country Region,43-5071," Shipping, Receiving, and Traffic Clerks",460,34540,33250,24590,39520
10,2,Central New York Region,31-2011,Occupational Therapy Assistants,50,47430,46870,35770,53260
10,9,Southern Tier Region,23-1023," Judges, Magistrate Judges, and Magistrates",270,153780,155040,141810,159770
10,5,Long Island Region,21-1091,Health Educators,380,45340,35770,26170,54920
10,3,Finger Lakes Region,47-4090,Miscellaneous Construction and Related Workers,,48410,45330,28570,58340
1,36,New York State,19-2031,Chemists,3780,87060,77700,52390,104390
10,2,Central New York Region,31-9093,Medical Equipment Preparers,70,36520,34490,28570,40490
10,9,Southern Tier Region,21-1094,Community Health Workers,150,37840,35440,26120,43700
10,7,New York City Region,43-1011,First-Line Supervisors of Office and Administrative Support Workers,53950,77420,71420,47800,92230
10,4,Hudson Valley Region,35-2011," Cooks, Fast Food",500,25530,25180,21632,27870
10,3,Finger Lakes Region,45-2011,Agricultural Inspectors,,66470,68230,48360,75530
10,8,North Country Region,29-1041,Optometrists,20,105810,97910,80950,118240
10,4,Hudson Valley Region,41-9099," Sales and Related Workers, All Other",390,39990,34740,25030,47470
10,5,Long Island Region,15-0000,Computer and Mathematical Occupations,25810,89590,82790,51000,108890
10,9,Southern Tier Region,13-1141,"Compensation, Benefits, and Job Analysis Specialists",160,66250,61160,44360,77190
1,36,New York State,33-1011,First-Line Supervisors of Correctional Officers,3970,89570,89230,71270,98730
1,36,New York State,31-9092,Medical Assistants,25140,37250,36420,28530,41620
10,4,Hudson Valley Region,23-1012,Judicial Law Clerks,,124650,138490,84590,144680
1,36,New York State,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",980,56110,54230,40000,64170
1,36,New York State,51-4051,Metal-Refining Furnace Operators and Tenders,610,46020,47230,38290,49890
10,8,North Country Region,51-3093,Food Cooking Machine Operators and Tenders,80,40310,43730,28870,46030
10,1,Capital Region,15-1111,Computer and Information Research Scientists,100,108330,99700,88270,118360
10,3,Finger Lakes Region,11-1031,Legislators,810,93630,93880,85980,97460
10,5,Long Island Region,51-7021,Furniture Finishers,290,37380,31790,28230,41950
10,2,Central New York Region,43-4171,Receptionists and Information Clerks,3610,31200,29820,23390,35100
10,2,Central New York Region,17-2051,Civil Engineers,680,91100,85540,67570,102870
10,5,Long Island Region,29-2033,Nuclear Medicine Technologists,210,88950,88120,74650,96100
10,4,Hudson Valley Region,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,530,108470,111210,78630,123380
10,7,New York City Region,41-2031,Retail Salespersons,130460,28430,24960,24960,32120
10,3,Finger Lakes Region,51-9122," Painters, Transportation Equipment",160,50300,47160,27640,61620
10,3,Finger Lakes Region,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",240,52970,51810,38690,60110
10,4,Hudson Valley Region,29-1127,Speech-Language Pathologists,1720,94250,88940,59140,111800
10,6,Mohawk Valley Region,51-2098,"Assemblers and fabricators, all other, including team assemblers¿(OES-specific code and title)",1730,31950,29730,23170,36340
10,9,Southern Tier Region,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",160,35730,33980,26210,40490
10,3,Finger Lakes Region,25-4021,Librarians,730,56170,54880,41140,63690
10,3,Finger Lakes Region,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",130,38440,39760,26480,44430
10,9,Southern Tier Region,17-2141,Mechanical Engineers,750,90640,85180,60730,105590
10,1,Capital Region,19-1029," Biological Scientists, All Other",60,99590,86070,52560,123110
10,5,Long Island Region,53-7064," Packers and Packagers, Hand",3930,27690,25250,22880,30610
10,1,Capital Region,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",7410,32720,30420,22880,37630
10,3,Finger Lakes Region,13-1199," Business Operations Specialists, All Other",1050,71690,65350,42830,86120
10,6,Mohawk Valley Region,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",70,27180,25160,22980,29280
10,1,Capital Region,21-0000,Community and Social Service Occupations,11520,52450,49750,30840,63260
10,1,Capital Region,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,70,31660,30090,25160,34910
10,2,Central New York Region,21-2011,Clergy,350,52650,45840,28740,64600
10,1,Capital Region,49-3092,Recreational Vehicle Service Technicians,,37640,37610,29590,41660
10,7,New York City Region,17-3011,Architectural and Civil Drafters,2760,62500,60550,45230,71140
10,1,Capital Region,31-9092,Medical Assistants,1300,33390,32750,27850,36160
10,2,Central New York Region,25-4011,Archivists,,50220,42240,26160,62250
10,6,Mohawk Valley Region,35-2011," Cooks, Fast Food",,25090,22720,21632,27190
1,36,New York State,47-5081,Helpers--Extraction Workers,,43660,44240,35120,47930
10,7,New York City Region,33-2011,Firefighters,5690,73050,76830,62950,78100
1,36,New York State,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",1340,35840,34170,26230,40640
10,5,Long Island Region,11-9032,"Education Administrators, Elementary and Secondary School",2830,151200,151390,109270,172160
1,36,New York State,47-2061,Construction Laborers,60780,50320,43280,28820,61080
10,1,Capital Region,25-1054," Physics Teachers, Postsecondary",130,101460,75230,51890,126240
10,6,Mohawk Valley Region,41-2022,Parts Salespersons,490,30560,29520,22300,34690
10,3,Finger Lakes Region,53-2012,Commercial Pilots,,65570,62770,53590,71560
10,5,Long Island Region,25-1054," Physics Teachers, Postsecondary",160,106220,104240,60620,129020
10,2,Central New York Region,17-1011," Architects, Except Landscape and Naval",230,82280,81450,55350,95750
10,10,Western New York Region,53-3022," Bus Drivers, School or Special Client",3430,39460,39660,28230,45080
10,4,Hudson Valley Region,39-5094,Skincare Specialists,200,54920,56060,34600,65080
10,5,Long Island Region,29-1126,Respiratory Therapists,1070,80160,79090,71310,84590
10,10,Western New York Region,29-9099,"Healthcare Practitioners and Technical Workers, All Other",100,62470,67670,28610,79410
10,9,Southern Tier Region,43-5021,Couriers and Messengers,210,27150,21632,21632,30410
10,3,Finger Lakes Region,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1230,24660,23260,21632,26330
10,9,Southern Tier Region,11-1021,General and Operations Managers,3970,106590,85970,49900,134940
10,2,Central New York Region,25-3021,Self-Enrichment Education Teachers,560,37140,33740,21880,44770
1,36,New York State,35-3011,Bartenders,44240,32410,27320,21632,37990
10,7,New York City Region,11-9051,Food Service Managers,2970,82060,77170,54960,95610
1,36,New York State,25-1042," Biological Science Teachers, Postsecondary",4240,99650,82630,49050,124950
10,5,Long Island Region,33-2021,Fire Inspectors and Investigators,,69500,62230,54450,77030
10,8,North Country Region,25-1121," Art, Drama, and Music Teachers, Postsecondary",,73190,66450,36980,91290
10,3,Finger Lakes Region,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",50,29540,26990,22680,32970
10,4,Hudson Valley Region,17-2141,Mechanical Engineers,980,91300,87770,64890,104510
10,7,New York City Region,33-9099," Protective Service Workers, All Other",7820,29950,25070,24960,34270
10,10,Western New York Region,53-2021,Air Traffic Controllers,60,103770,101930,71870,119720
10,9,Southern Tier Region,25-2059," Special Education Teachers, All Other",,58410,57910,50790,62210
1,36,New York State,53-2012,Commercial Pilots,1120,96540,84870,54840,117400
10,3,Finger Lakes Region,25-1072," Nursing Instructors and Teachers, Postsecondary",490,101080,77110,51630,125810
10,4,Hudson Valley Region,31-2022,Physical Therapist Aides,290,30340,27650,22680,34180
10,3,Finger Lakes Region,51-9022," Grinding and Polishing Workers, Hand",170,27790,25360,22650,30350
10,5,Long Island Region,49-9031,Home Appliance Repairers,240,39030,37840,24490,46300
1,36,New York State,19-2021,Atmospheric and Space Scientists,380,84790,79030,46760,103800
10,7,New York City Region,13-1031," Claims Adjusters, Examiners, and Investigators",7060,78550,77080,51860,91890
10,1,Capital Region,19-0000,"Life, Physical, and Social Science Occupations",6950,72860,68110,37600,90490
10,9,Southern Tier Region,25-9011,Audio-Visual and Multimedia Collections Specialists,,49180,44930,26030,60750
10,3,Finger Lakes Region,11-3061,Purchasing Managers,230,109880,106260,73980,127820
10,10,Western New York Region,31-9097,Phlebotomists,440,35610,34990,28560,39130
10,5,Long Island Region,13-1051,Cost Estimators,2220,75760,65260,36280,95500
10,3,Finger Lakes Region,25-4011,Archivists,,55430,58300,35100,65600
10,3,Finger Lakes Region,33-9032,Security Guards,3250,33880,30690,23660,38990
10,7,New York City Region,51-9199," Production Workers, All Other",,36820,35390,24960,43970
10,2,Central New York Region,13-1051,Cost Estimators,470,66270,61820,45270,76780
1,36,New York State,25-1191,Graduate Teaching Assistants,11740,39880,37130,23370,48140
10,7,New York City Region,49-3093,Tire Repairers and Changers,,31610,24960,24960,37160
10,10,Western New York Region,17-2072," Electronics Engineers, Except Computer",190,85660,83850,60860,98070
10,1,Capital Region,31-2012,Occupational Therapy Aides,,39980,37220,29970,44980
10,4,Hudson Valley Region,35-9021,Dishwashers,3150,24170,23070,21632,25490
10,2,Central New York Region,53-3041,Taxi Drivers and Chauffeurs,450,26260,24050,21632,28640
10,8,North Country Region,29-1127,Speech-Language Pathologists,190,65570,61970,52340,72180
10,7,New York City Region,17-3019," Drafters, All Other",290,70530,68000,44810,83400
10,3,Finger Lakes Region,19-3051,Urban and Regional Planners,110,65000,65280,46010,74490
10,9,Southern Tier Region,41-2021,Counter and Rental Clerks,770,32880,30290,23670,37490
10,9,Southern Tier Region,43-9021,Data Entry Keyers,310,29730,27390,21680,33750
10,1,Capital Region,51-9122," Painters, Transportation Equipment",80,53430,50610,37780,61260
10,7,New York City Region,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",22320,83190,81210,55360,97110
10,3,Finger Lakes Region,53-3099," Motor Vehicle Operators, All Other",250,30150,25110,23230,33610
10,8,North Country Region,15-1143,Computer Network Architects,30,76030,70250,53080,87510
1,36,New York State,49-3052,Motorcycle Mechanics,680,38220,36470,27610,43530
10,4,Hudson Valley Region,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",140,46990,46330,32130,54420
10,5,Long Island Region,11-3121,Human Resources Managers,770,156050,145350,102090,183030
10,6,Mohawk Valley Region,29-1041,Optometrists,,124430,103980,74550,149380
10,5,Long Island Region,11-3061,Purchasing Managers,460,148570,142290,94010,175860
10,10,Western New York Region,51-2098,"Assemblers and fabricators, all other, including team assemblers¿(OES-specific code and title)",6630,34010,31660,23000,39510
10,9,Southern Tier Region,25-2021,"Elementary School Teachers, Except Special Education",3110,62220,59840,46170,70250
1,36,New York State,15-1111,Computer and Information Research Scientists,1200,138650,126080,91410,162270
10,7,New York City Region,13-1199," Business Operations Specialists, All Other",13500,90390,83100,54100,108530
1,36,New York State,15-1134,Web Developers,11900,83630,75600,46750,102070
10,4,Hudson Valley Region,19-2099," Physical Scientists, All Other",,64410,49080,38580,77330
10,4,Hudson Valley Region,27-2041,Music Directors and Composers,310,77050,66790,37420,96870
10,2,Central New York Region,47-2152," Plumbers, Pipefitters, and Steamfitters",1080,63820,62240,40290,75580
1,36,New York State,43-4031," Court, Municipal, and License Clerks",7270,57190,50210,34050,68760
10,6,Mohawk Valley Region,25-1081," Education Teachers, Postsecondary",150,67210,61480,47570,77020
1,36,New York State,43-6011,Executive Secretaries and Executive Administrative Assistants,87440,71870,71350,49750,82930
10,6,Mohawk Valley Region,47-2073,Operating Engineers and Other Construction Equipment Operators,420,66610,55970,39060,80390
1,36,New York State,39-4031," Morticians, Undertakers, and Funeral Directors",1430,62340,63730,38820,74100
10,7,New York City Region,49-2011,"Computer, Automated Teller, and Office Machine Repairers",2260,46450,46260,29990,54680
10,2,Central New York Region,21-1019," Counselors, All Other",,51790,52520,34780,60300
10,10,Western New York Region,51-9191,Adhesive Bonding Machine Operators and Tenders,50,34510,31380,28020,37750
10,9,Southern Tier Region,11-3111,Compensation and Benefits Managers,,136200,128150,105120,151750
10,2,Central New York Region,43-3031," Bookkeeping, Accounting, and Auditing Clerks",4340,40430,38790,28710,46280
10,8,North Country Region,31-2021,Physical Therapist Assistants,150,46760,45680,35940,52170
10,1,Capital Region,47-2061,Construction Laborers,3990,41350,38280,28630,47710
10,1,Capital Region,47-2051,Cement Masons and Concrete Finishers,270,64360,60170,40220,76420
10,10,Western New York Region,49-2092," Electric Motor, Power Tool, and Related Repairers",100,42630,38830,32450,47720
10,2,Central New York Region,41-9022,Real Estate Sales Agents,170,88060,64460,41530,111330
10,9,Southern Tier Region,25-1042," Biological Science Teachers, Postsecondary",300,119810,108130,64300,147560
10,1,Capital Region,29-1063," Internists, General",120,261620,,,
10,5,Long Island Region,41-2031,Retail Salespersons,53450,31040,24440,22880,35740
10,1,Capital Region,19-1031,Conservation Scientists,,63810,65740,41000,75210
10,3,Finger Lakes Region,51-7011,Cabinetmakers and Bench Carpenters,340,38150,36750,28130,43170
10,9,Southern Tier Region,15-1122,Information Security Analysts,140,106670,94640,68750,125620
10,1,Capital Region,31-0000,Healthcare Support Occupations,17080,30820,28910,23240,34610
10,8,North Country Region,47-2061,Construction Laborers,1110,41390,38730,28180,47990
1,36,New York State,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",1060,40250,41310,28280,46240
10,5,Long Island Region,25-1011," Business Teachers, Postsecondary",870,77400,62660,41840,95180
10,1,Capital Region,39-0000,Personal Care and Service Occupations,18360,29550,25890,22100,33270
10,3,Finger Lakes Region,19-1013,Soil and Plant Scientists,,56610,56170,36600,66620
10,6,Mohawk Valley Region,47-2111,Electricians,450,50170,48780,33620,58440
1,36,New York State,43-9071," Office Machine Operators, Except Computer",3880,36450,34490,25130,42110
10,1,Capital Region,13-1032," Insurance Appraisers, Auto Damage",,68410,63420,54880,75180
10,9,Southern Tier Region,17-1011," Architects, Except Landscape and Naval",60,89000,77760,59440,103770
10,10,Western New York Region,15-1132," Software Developers, Applications",1880,88150,85780,58100,103180
1,36,New York State,15-1143,Computer Network Architects,8890,110890,104790,59300,136690
10,1,Capital Region,25-1072," Nursing Instructors and Teachers, Postsecondary",200,68070,65740,49450,77380
10,7,New York City Region,25-2059," Special Education Teachers, All Other",1350,102830,94000,58200,125140
10,7,New York City Region,25-2051," Special Education Teachers, Preschool",2500,82320,67610,45080,100940
1,36,New York State,53-4011,Locomotive Engineers,1800,75430,76480,55580,85350
10,8,North Country Region,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",20,63690,60840,52750,69160
10,5,Long Island Region,27-4099,"Media and Communication Equipment Workers, All Other",,46940,37980,32190,54310
10,4,Hudson Valley Region,49-3011,Aircraft Mechanics and Service Technicians,180,71220,74200,53170,80240
10,10,Western New York Region,43-4131,Loan Interviewers and Clerks,700,39820,39000,33590,42930
10,7,New York City Region,25-1194," Vocational Education Teachers, Postsecondary",1280,67290,68320,45660,78100
10,8,North Country Region,25-9041,Teacher Assistants,2860,26360,23570,21632,29030
10,8,North Country Region,49-2098,Security and Fire Alarm Systems Installers,,40520,38240,33250,44160
10,5,Long Island Region,47-0000,Construction and Extraction Occupations,61280,68310,60870,34020,85450
10,3,Finger Lakes Region,35-0000,Food Preparation and Serving Related Occupations,46530,26600,23600,21632,29290
10,5,Long Island Region,15-1151,Computer User Support Specialists,4950,57490,54500,38100,67190
10,1,Capital Region,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",,60350,47100,34910,73060
1,36,New York State,49-9052,Telecommunications Line Installers and Repairers,9150,75350,86580,40740,92650
10,4,Hudson Valley Region,51-6031,Sewing Machine Operators,420,32110,30200,22230,37050
10,6,Mohawk Valley Region,29-2021,Dental Hygienists,250,73770,74260,65760,77770
10,8,North Country Region,49-9062,Medical Equipment Repairers,20,48720,35550,24270,60940
1,36,New York State,49-9071," Maintenance and Repair Workers, General",103380,45820,43120,28030,54720
10,7,New York City Region,15-1142,Network and Computer Systems Administrators,13610,103320,100610,62570,123690
10,7,New York City Region,49-9092,Commercial Divers,,119120,126710,93310,132030
10,2,Central New York Region,43-4031," Court, Municipal, and License Clerks",290,45230,40430,31760,51970
10,9,Southern Tier Region,49-0000,"Installation, Maintenance, and Repair Occupations",10530,46830,43310,28300,56090
10,4,Hudson Valley Region,47-2081,Drywall and Ceiling Tile Installers,550,67010,52450,34820,83110
10,6,Mohawk Valley Region,29-2032,Diagnostic Medical Sonographers,170,75250,75400,60740,82510
10,2,Central New York Region,29-2032,Diagnostic Medical Sonographers,180,72410,71990,56620,80310
1,36,New York State,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",340,48560,47210,30920,57380
10,10,Western New York Region,11-9121,Natural Sciences Managers,80,116810,108370,89980,130230
10,1,Capital Region,11-9033," Education Administrators, Postsecondary",720,119480,102430,68590,144920
10,10,Western New York Region,43-5031," Police, Fire, and Ambulance Dispatchers",430,43240,41390,30400,49660
10,4,Hudson Valley Region,41-2031,Retail Salespersons,38340,30200,24570,21632,34550
10,5,Long Island Region,35-2011," Cooks, Fast Food",1920,27410,25460,22880,29690
10,3,Finger Lakes Region,51-3092,Food Batchmakers,730,35570,36010,24520,41090
10,10,Western New York Region,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",6710,53800,44440,26040,67680
10,10,Western New York Region,39-7010,Tour and Travel Guides,120,24970,21632,21632,26920
10,10,Western New York Region,47-2141," Painters, Construction and Maintenance",920,42590,37320,28650,49550
10,4,Hudson Valley Region,39-9032,Recreation Workers,3450,36160,32130,22180,43150
10,9,Southern Tier Region,53-3099," Motor Vehicle Operators, All Other",60,35410,34090,24200,41010
10,5,Long Island Region,35-3031,Waiters and Waitresses,22600,30370,26090,22880,34680
10,6,Mohawk Valley Region,23-2099," Legal Support Workers, All Other",,54630,51810,45000,59440
1,36,New York State,25-1069,"Social Sciences Teachers, Postsecondary, All Other",2710,99800,83650,50470,124460
10,6,Mohawk Valley Region,19-2031,Chemists,,50230,47940,34390,58150
10,8,North Country Region,47-2151,Pipelayers,,44960,43800,27740,53570
10,5,Long Island Region,47-3012,Helpers--Carpenters,,26790,23800,22880,29130
10,7,New York City Region,53-6061,"Transportation Attendants, Except Flight Attendants",1770,30450,25670,24960,34600
1,36,New York State,11-9111,Medical and Health Services Managers,25850,139590,121810,81510,168630
10,1,Capital Region,31-9097,Phlebotomists,330,33330,32520,27490,36240
10,3,Finger Lakes Region,21-1092,Probation Officers and Correctional Treatment Specialists,530,62900,62940,49350,69670
10,5,Long Island Region,49-9062,Medical Equipment Repairers,290,54980,52330,35610,64660
1,36,New York State,43-4011,Brokerage Clerks,5630,63760,60840,39040,76130
10,6,Mohawk Valley Region,33-3012,Correctional Officers and Jailers,1720,62590,66530,46060,70860
10,1,Capital Region,19-4031,Chemical Technicians,370,59230,56170,36310,70690
10,1,Capital Region,11-9041,Architectural and Engineering Managers,740,149180,140200,113540,167000
10,5,Long Island Region,11-9111,Medical and Health Services Managers,4120,154780,131120,95020,184660
10,3,Finger Lakes Region,21-1021," Child, Family, and School Social Workers",1370,52300,48620,34340,61280
10,10,Western New York Region,29-1041,Optometrists,110,114990,115970,76900,134040
10,7,New York City Region,25-1125," History Teachers, Postsecondary",800,107790,92380,50910,136240
10,1,Capital Region,25-1065," Political Science Teachers, Postsecondary",160,83650,77700,44930,103010
10,10,Western New York Region,53-6021,Parking Lot Attendants,1010,22920,21632,21632,23970
10,7,New York City Region,29-1051,Pharmacists,10510,119490,120850,89520,134470
10,6,Mohawk Valley Region,11-9111,Medical and Health Services Managers,440,107050,92020,69200,125970
1,36,New York State,47-2022,Stonemasons,1220,48530,36530,24000,60800
10,2,Central New York Region,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3710,76480,61990,37210,96120
10,6,Mohawk Valley Region,11-3131,Training and Development Managers,,99080,92640,64260,116490
10,10,Western New York Region,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",480,34720,33170,26000,39080
10,1,Capital Region,47-2042," Floor Layers, Except Carpet, Wood, and Hard Tiles",,41630,43000,34340,45270
10,3,Finger Lakes Region,13-2072,Loan Officers,670,72750,61910,39030,89610
10,8,North Country Region,41-2011,Cashiers,4680,23200,22190,21632,24380
1,36,New York State,41-9041,Telemarketers,6860,30000,23930,21632,34280
10,8,North Country Region,21-1018,"Substance abuse, behavioral disorder, and mental health counselors¿(OES-specific code and title)",250,46080,44190,31960,53140
10,3,Finger Lakes Region,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",100,33390,32730,24610,37770
10,8,North Country Region,53-1048,,260,53170,51390,37340,61080
10,8,North Country Region,23-2093," Title Examiners, Abstractors, and Searchers",60,39520,42160,29230,44670
10,3,Finger Lakes Region,47-2231,Solar Photovoltaic Installers,,36160,36200,34370,37050
10,2,Central New York Region,15-0000,Computer and Mathematical Occupations,6840,79840,75110,48180,95660
10,6,Mohawk Valley Region,39-9011,Childcare Workers,1200,25430,23530,21632,27720
10,5,Long Island Region,53-5021,"Captains, Mates, and Pilots of Water Vessels",580,95900,76350,46560,120580
10,3,Finger Lakes Region,47-2181,Roofers,410,58140,52210,34250,70090
10,2,Central New York Region,37-3013,Tree Trimmers and Pruners,,48480,48120,45110,50170
10,7,New York City Region,51-9191,Adhesive Bonding Machine Operators and Tenders,,33340,34670,24960,39030
10,7,New York City Region,21-1099,"Community and Social Service Specialists, All Other",9930,55360,50120,41680,62200
10,10,Western New York Region,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",3020,40760,37700,26290,48000
10,3,Finger Lakes Region,47-3012,Helpers--Carpenters,,24990,24980,22480,26250
10,8,North Country Region,43-5011,Cargo and Freight Agents,280,41900,39820,30220,47750
10,8,North Country Region,29-1199,"Health Diagnosing and Treating Practitioners, All Other",30,59790,50510,44610,67380
10,5,Long Island Region,17-3024,Electro-Mechanical Technicians,,82260,82330,63910,91430
10,10,Western New York Region,49-2098,Security and Fire Alarm Systems Installers,220,48190,47580,35420,54580
10,10,Western New York Region,49-9031,Home Appliance Repairers,130,42750,44970,31070,48590
1,36,New York State,17-2161,Nuclear Engineers,550,115970,117040,84840,131530
10,3,Finger Lakes Region,31-1015,Orderlies,220,30000,29820,24300,32850
10,5,Long Island Region,49-0000,"Installation, Maintenance, and Repair Occupations",45930,55640,53020,30730,68100
10,10,Western New York Region,17-2061,Computer Hardware Engineers,,125270,131100,82470,146670
10,7,New York City Region,19-2042,"Geoscientists, Except Hydrologists and Geographers",,88370,76630,56140,104480
10,2,Central New York Region,25-4021,Librarians,570,62450,62210,45340,71010
10,9,Southern Tier Region,17-1021,Cartographers and Photogrammetrists,,55720,58610,37180,65000
